name,lat,lon,SB1804,SV1804,SB1805,SV1805,SB1806,SV1806,SB1807,SV1807,SB1808,SV1808,SB1809,SV1809,SB1810,SV1810,SB1811,SV1811,SB1812,SV1812,SB1813,SV1813,SB1814,SV1814,SB1815,SV1815,SB1816,SV1816,SB1817,SV1817,SB1818,SV1818,SB1819,SV1819,SB1820,SV1820,SB1821,SV1821,SB1822,SV1822,SB1823,SV1823,SB1824,SV1824,SB1825,SV1825,SB1826,SV1826,SB1827,SV1827,SB1828,SV1828,SB1829,SV1829,SB1830,SV1830,SB1831,SV1831,SB1832,SV1832,SB1833,SV1833,SB1834,SV1834,SB1835,SV1835,SB1836,SV1836,SB1837,SV1837,SB1838,SV1838,SB1839,SV1839,SB1840,SV1840,SB1841,SV1841,SB1842,SV1842,SB1843,SV1843,SB1844,SV1844,SB1845,SV1845,SB1846,SV1846,SB1847,SV1847,SB1848,SV1848,SB1849,SV1849,SB1850,SV1850,SB1851,SV1851,SB1852,SV1852,SB1853,SV1853,SB1854,SV1854,SB1855,SV1855,SB1856,SV1856,SB1857,SV1857,SB1858,SV1858,SB1859,SV1859,SB1860,SV1860,SB1861,SV1861,SB1862,SV1862,SB1863,SV1863,SB1864,SV1864,SB1865,SV1865,SB1866,SV1866,SB1867,SV1867,SB1868,SV1868,SB1869,SV1869,SB1870,SV1870,SB1871,SV1871,SB1872,SV1872,SB1873,SV1873,SB1874,SV1874,SB1875,SV1875,SB1876,SV1876,WB1804,WV1804,WB1805,WV1805,WB1806,WV1806,WB1807,WV1807,WB1808,WV1808,WB1809,WV1809,WB1810,WV1810,WB1811,WV1811,WB1812,WV1812,WB1813,WV1813,WB1814,WV1814,WB1815,WV1815,WB1816,WV1816,WB1817,WV1817,WB1818,WV1818,WB1819,WV1819,WB1820,WV1820,WB1821,WV1821,WB1822,WV1822,WB1823,WV1823,WB1824,WV1824,WB1825,WV1825,WB1826,WV1826,WB1827,WV1827,WB1828,WV1828,WB1829,WV1829,WB1830,WV1830,WB1831,WV1831,WB1832,WV1832,WB1833,WV1833,WB1834,WV1834,WB1835,WV1835,WB1836,WV1836,WB1837,WV1837,WB1838,WV1838,WB1839,WV1839,WB1840,WV1840,WB1841,WV1841,WB1842,WV1842,WB1843,WV1843,WB1844,WV1844,WB1845,WV1845,WB1846,WV1846,WB1847,WV1847,WB1848,WV1848,WB1849,WV1849,WB1850,WV1850,WB1851,WV1851,WB1852,WV1852,WB1853,WV1853,WB1854,WV1854,WB1855,WV1855,WB1856,WV1856,WB1857,WV1857,WB1858,WV1858,WB1859,WV1859,WB1860,WV1860,WB1861,WV1861,WB1862,WV1862,WB1863,WV1863,WB1864,WV1864,WB1865,WV1865,WB1866,WV1866,WB1867,WV1867,WB1868,WV1868,WB1869,WV1869,WB1870,WV1870,WB1871,WV1871,WB1872,WV1872,WB1873,WV1873,WB1874,WV1874,WB1875,WV1875,WB1876,WV1876,BP1804,BV1804,BP1805,BV1805,BP1806,BV1806,BP1807,BV1807,BP1808,BV1808,BP1809,BV1809,BP1810,BV1810,BP1811,BV1811,BP1812,BV1812,BP1813,BV1813,BP1814,BV1814,BP1815,BV1815,BP1816,BV1816,BP1817,BV1817,BP1818,BV1818,BP1819,BV1819,BP1820,BV1820,BP1821,BV1821,BP1822,BV1822,BP1823,BV1823,BP1824,BV1824,BP1825,BV1825,BP1826,BV1826,BP1827,BV1827,BP1828,BV1828,BP1829,BV1829,BP1830,BV1830,BP1831,BV1831,BP1832,BV1832,BP1833,BV1833,BP1834,BV1834,BP1835,BV1835,BP1836,BV1836,BP1837,BV1837,BP1838,BV1838,BP1839,BV1839,BP1840,BV1840,BP1841,BV1841,BP1842,BV1842,BP1843,BV1843,BP1844,BV1844,BP1845,BV1845,BP1846,BV1846,BP1847,BV1847,BP1848,BV1848,BP1849,BV1849,BP1850,BV1850,BP1851,BV1851,BP1852,BV1852,BP1853,BV1853,BP1854,BV1854,BP1855,BV1855,BP1856,BV1856,BP1857,BV1857,BP1858,BV1858,BP1859,BV1859,BP1860,BV1860,BP1861,BV1861,BP1862,BV1862,BP1863,BV1863,BP1864,BV1864,BP1865,BV1865,BP1866,BV1866,BP1867,BV1867,BP1868,BV1868,BP1869,BV1869,BP1870,BV1870,BP1871,BV1871,BP1872,BV1872,BP1873,BV1873,BP1874,BV1874,BP1875,BV1875,BP1876,BV1876,sperm_total,whale_total,bone_total
"East Greenwich, RI",41.661545,-71.446338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,296033.8723,1560,349858.2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2760,0
"East Haddam, CT",41.448298,-72.456526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,287735.1287,110,77901.62188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0
"Edgartown, MA",41.3904,-70.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,567130.1087,0,0,1250,733293.2292,0,0,0,0,6000,1888524.167,3416,1241139.679,1650,901570.0699,2700,1569464.338,1250,702383.7316,2115,1055557.244,0,0,4240,2286980.806,6035,3528507.024,0,0,3200,2471588.966,4500,2865725.625,3100,2213526,4830,3432642.214,3500,2237939.89,0,0,4800,4150361.25,5550,4875027.5,4255,3399938.534,1385,918713.244,8760,5193880.65,2800,2388104.688,2260,1871709.4,750,643232.7951,2420,2294603.919,1044,1058114.077,100,114760.7825,2000,2677312.4,3015,4043993.42,298,388710.9765,1297,1705476.985,214,310679.3051,448,747117.728,1347,2129728.23,416,502422.2164,1499,1838311.046,1773,2357690.665,1905,2630831.282,1737,2229292.981,3001,3762930.517,1398,1603011.599,266,282617.0341,656,847418.4113,657,1003363.307,1360,1936960.733,184,232736.448,79,94371.77053,1020,966636.8184,2664,2554514.41,5193,5521248.628,0,0,0,0,1040,1332906.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,744042.3529,0,0,0,0,2240,719395.95,0,0,0,0,0,0,0,0,0,0,60,21081.2,0,0,2200,579733,2700,800426.8125,2200,579733,20,5440.309677,0,0,60,19198.95,5700,1962463.025,1840,571451.1,1900,625848.125,4400,1490742,3450,1153891.644,3000,1262247.391,150,77631.519,4100,1958245.844,110,79133.5545,5496,3369680.481,1861,1082969.791,3380,2268054.783,8028,6228967.57,3833,2642370.782,5674,3105382.382,3069,1452714.276,6033,2914607.658,6950,3018466.727,4458,2323263.66,100,67837.30743,1525,1094428.255,0,0,6083,4408144.799,6632,3065012.734,2971,1604951.283,2496,1673109.438,400,187234.3421,6381,2989314.16,6200,2972595.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,95662.58824,0,0,0,0,12000,56467.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,484007.1429,14000,90348,19000,180138.2963,42500,354266.3393,24000,173746.1538,15000,98818.125,0,0,49660,515968.3932,0,0,42973,446490.3295,15400,168337.2859,48500,590118.9866,87840,1420672.107,79900,2078629.176,17800,475499.7865,41500,1018366.963,62927,1407294.301,77116,1419260.001,35228,778012.7285,0,0,24550,710481.7742,0,0,69900,1638635.516,80000,1688647.143,70000,1350514.375,22707,525705.0842,0,0,74889,1205989.573,78586,2111947.451,0,0,0,0,0,0,0,0,116477,118900,1174976
"Fairhaven, MA",41.644035,-70.886989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,47911.81818,35,20344.90809,350,138345.375,130,67024.46739,2100,998492.7065,0,0,2133,948505.7728,108,46246.8825,2440,767999.8278,2300,835661.9621,1200,655687.3235,720,418523.8235,1370,769812.5699,1510,753612.9735,3997,2024252.234,3050,1645115.91,3095,1809565.74,2415,1803101.388,4425,3417744.116,14342,9133385.981,6742,4814062.03,5796,4119170.656,17207,11002351.91,16612,11764561.3,8758,7572679.964,12179,10697830.62,12235,9776321.495,17145,11372807.63,14347,8506461.836,10022,8547708.992,17203,14247352.57,12275,10527576.75,15210,14421870.08,4282,4339889.346,12950,14861521.33,11520,15421319.42,10551,14151965.03,10179,13277479.97,11175,14694452.82,4149,6023403.91,10806,18020879.84,9223,14582393.07,5259,6351534.702,10414,12771295.02,4703,6253930.736,4703,6494907.884,5756,7387340.471,7364,9233662.222,5979,6855798.535,3333,3541212.687,177,228647.9555,460,702507.0341,135,192271.8375,833,1053638.376,2497,2982864.696,539,510801.2207,553,530272.6985,781,830366.8744,1903,2054630.115,85,104747.2125,1214,1555912.34,0,0,1000,292794.4444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,470193.4314,0,0,1900,544215.7609,0,0,2100,461151.25,2317,503715.5104,3206,675863.272,4250,995501.1111,3300,790545,1650,409223.2941,3750,871924.6324,5400,1255571.471,3650,757805.2576,5432,1163023.453,9066,2911626.644,10530,2601387.141,15840,3269694.12,15950,3768264.5,11930,2881756.121,13195,4374391.502,13769,4837784.047,15583,4227129.37,19917,5248428.255,20292,6015652.178,17994,4741688.91,17345,4718108.568,9514,2939337.177,11625,3719796.563,17019,5859501.442,17692,5494626.555,20490,6749277.938,12960,4390912.8,14240,4762729.569,19580,8238267.969,9590,4963241.781,15505,7405512.636,6345,4564567.303,18681,11453602.81,29652,17255357.47,16848,11305380.76,10916,8469782.012,18691,12885090.6,20129,11016609.44,20534,9719789.814,18433,8905181.991,27929,12129893.12,11086,5777411.604,30,20351.19223,786,564079.0877,543,451040.294,103,74640.62375,280,129403.4327,3145,1698947.084,2715,1819908.704,317,148383.2161,135,63243.6,7,3356.156319,6,2733.968125,0,0,786,409538.2439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4517.4,0,0,0,0,0,0,7500,24912.13235,28000,99205.64706,9190,36630.79941,8000,45630.30303,42150,247927.6172,70000,329393.75,55500,221987.8594,12400,40455.82667,44000,148503.0345,101000,532300.3,87000,443725.2581,0,0,11000,48717.05882,0,0,0,0,0,0,0,0,18000,107482.9655,91200,882829.0286,152000,1634868.571,160500,1035775.286,203703,1931300.598,101500,846071.375,122635,887806.649,190188,1252934.771,74772,729594.0708,128550,1335637.071,78632,1381301.829,185700,1929426.714,485956,5311981.436,176060,2142192.758,80400,1300341.956,149704,3894607.036,193742,5175521.328,176810,4338734.041,184588,4128110.991,317713,5847260.655,141086,3115893.716,0,0,1395,40371.57128,10000,280962.6391,0,0,8000,168864.7143,42420,818411.7113,38277,886176.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353074,577078,3991271
"Fall River, MA",41.7136,-71.1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1428081.29,0,0,510,326099.8125,855,605508.0609,2240,1936835.25,830,729058.1667,950,759093.2097,2460,1631793.921,780,462468.825,1750,1492565.43,1260,1043519.4,370,317328.1789,200,189636.6875,150,152027.8846,840,963990.573,400,535462.48,0,0,460,600023.655,370,486527.7445,0,0,0,0,326,515435.34,700,845421.9988,151,185180.0987,0,0,367,506832.0632,1473,1890471.25,315,394976.0456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850,613309.9113,0,0,1240,336369.1471,0,0,4170,1236214.744,3120,822166.8,890,242093.7806,1120,346022.4552,4015,1284729.738,700,241004.2311,3600,1118056.5,4050,1334044.688,30,10164.15,2000,668922.6923,8980,3778327.189,600,310526.076,0,0,2927,2105671.946,42,25750.83337,0,0,0,0,1974,1531637.018,800,551499.25,134,73338.25154,0,0,50,24155.54167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,309764.5714,0,0,24600,158754.3429,33500,317612.2593,0,0,20000,144788.4615,77000,507266.375,0,0,0,0,45569,800495.2571,0,0,0,0,0,0,31903,515980.2165,1400,36421.5375,0,0,0,0,0,0,648,11925.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19757,42292,266620
"Falmouth, MA",41.5516,-70.6089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,128463.5625,0,0,2000,726662.5758,0,0,0,0,0,0,0,0,0,0,1700,916949.8516,3468,2027649.107,0,0,2000,1544743.103,860,547672.0083,4600,3284586.968,8190,5820567.232,2910,1860687.165,780,552393.3188,5200,4496224.688,2700,2371635,1300,1038759.129,300,198999.2586,6100,3616743.375,2200,1876367.969,2800,2318932,0,0,100,94818.34375,2400,2432446.154,2540,2914923.876,0,0,0,0,0,0,4092,5380733.866,513,744759.2688,0,0,307,485394.63,0,0,2325,2851282.976,0,0,104,143625.4348,0,0,0,0,0,0,981,1042283.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,11711.77778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,189885.8088,300,79054.5,4100,1215462.938,0,0,370,100645.729,20,6178.972414,920,294383.9,0,0,140,43479.975,0,0,1700,575968.5,2100,702368.8269,100,42074.91302,0,0,2600,1241814.438,0,0,1812,1110964.525,2071,1205174.873,0,0,2477,1921917.373,0,0,0,0,0,0,2063,996657.6492,0,0,0,0,0,0,232,166496.6264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,23232.34286,0,0,43000,277497.4286,0,0,9798,81672.97864,10000,72394.23077,0,0,0,0,14300,148577.286,0,0,22200,230658.444,0,0,0,0,23100,373605.7111,0,0,0,0,0,0,28359,634218.3653,0,0,0,0,0,0,1700,49198.3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60770,21745,154857
"Freetown, MA",41.79629276,-71.091762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,255868.3594,0,0,128,109778.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,585295.9899,0,0,1100,362333.125,0,0,1250,418076.6827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,182847.1429,0,0,10000,94809.62963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,4050,27000
"Gloucester, MA",42.611046,-70.660451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,390880.5833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,238090.6824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,362333.125,0,0,1600,562165.3333,0,0,0,0,0,0,0,0,0,0,250,77237.15517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,3350,0
"Greenport, NY",41.1031,-72.3669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,318413.9583,0,0,150,106603.7955,0,0,290,205377.0031,1355,1171612.395,440,386488.6667,1755,1402324.824,730,484231.5293,960,569192.4,100,85289.45313,545,451363.55,150,128646.559,720,682692.075,770,780409.8077,623,714959.675,500,669328.1,804,1078398.245,1170,1526147.123,678,891529.2183,1375,1996187.124,566,943903.201,835,1320210.15,866,1045907.787,0,0,642,853715.4014,185,255487.5523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,330756.7586,3800,917910.5833,3700,1226619.823,1650,579733,7650,2075180.625,5000,1317575,8870,2629550.306,3560,938113.4,9315,2533824.232,675,208540.319,10200,3263821.5,3800,1308308.683,8693,2699795.876,3375,1111703.906,10030,3398214.15,11730,3923231.59,7730,3252390.776,800,414034.768,11013,5260039.385,625,449622.4688,6468,3965628.339,8399,4887621.321,4005,2687443.611,1316,1021091.346,7454,5138594.262,2710,1483184.042,4524,2141440.008,375,181166.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,9486.54,0,0,0,0,0,0,0,0,0,0,0,0,68219,331368.291,0,0,81600,789899.6571,30500,328049.2857,75200,485297.8286,32000,303390.8148,96000,800225.1429,76000,550196.1538,92290,607994.9838,6000,58545.504,113706,1181407.614,3500,61483.3198,98038,1018616.781,59450,649847.5096,61692,750631.351,18400,297590.6963,31600,822086.1321,21737,580670.7225,24090,591143.6178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16709,148867,991822
"Groton, CT",41.339,-72.0727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,121386.9097,300,213207.5909,400,255764.5588,40,28327.8625,250,216164.6484,200,175676.6667,200,159809.0968,100,66333.08621,300,177872.625,0,0,100,82819,0,0,400,379273.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,141752.8966,0,0,130,43097.45323,2600,913518.6667,1200,325518.5294,2340,616625.1,3600,1067235.75,1500,395272.5,1600,435224.7742,2300,710581.8276,1600,511972,2200,757441.8693,1900,590085.375,0,0,3600,1219698,0,0,0,0,0,0,5106,2438732.507,0,0,0,0,0,0,0,0,8487,6585108.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,95855.22822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,3375.068966,0,0,0,0,20000,114075.7576,10000,44288.23529,0,0,0,0,0,0,0,0,0,0,12800,123905.8286,17000,182847.1429,18000,116161.7143,0,0,40000,333427.1429,0,0,0,0,0,0,49400,513266.988,0,0,0,0,0,0,0,0,127899,2068562.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765,40862.70638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2460,38906,297864
